"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","test_delete_cource","tests.courses","Thu Jan 22 09:09:28 UTC 2026","passed","Thu Jan 22 09:09:28 UTC 2026","TestCourses","test_courses","",""
"","543","test_create_file_with_empty_filename","tests.files","Thu Jan 22 09:09:33 UTC 2026","passed","Thu Jan 22 09:09:33 UTC 2026","TestFiles","test_files","",""
"","319","test_create_course","tests.courses","Thu Jan 22 09:09:28 UTC 2026","passed","Thu Jan 22 09:09:28 UTC 2026","TestCourses","test_courses","",""
"","796","test_create_file_with_empty_directory","tests.files","Thu Jan 22 09:09:32 UTC 2026","passed","Thu Jan 22 09:09:33 UTC 2026","TestFiles","test_files","",""
"","528","test_create_user[example.com]","tests.users","Thu Jan 22 09:09:35 UTC 2026","passed","Thu Jan 22 09:09:36 UTC 2026","TestUsers","test_users","",""
"","1388","test_delete_file","tests.files","Thu Jan 22 09:09:34 UTC 2026","passed","Thu Jan 22 09:09:35 UTC 2026","TestFiles","test_files","",""
"","325","test_update_course","tests.courses","Thu Jan 22 09:09:31 UTC 2026","passed","Thu Jan 22 09:09:31 UTC 2026","TestCourses","test_courses","",""
"","533","test_create_file","tests.files","Thu Jan 22 09:09:30 UTC 2026","passed","Thu Jan 22 09:09:30 UTC 2026","TestFiles","test_files","",""
"","303","test_get_course","tests.courses","Thu Jan 22 09:09:31 UTC 2026","passed","Thu Jan 22 09:09:31 UTC 2026","TestCourses","test_courses","",""
"","835","test_get_file","tests.files","Thu Jan 22 09:09:31 UTC 2026","passed","Thu Jan 22 09:09:32 UTC 2026","TestFiles","test_files","",""
"","524","test_create_user[mail.ru]","tests.users","Thu Jan 22 09:09:33 UTC 2026","passed","Thu Jan 22 09:09:34 UTC 2026","TestUsers","test_users","",""
"","279","test_update_user","tests.users","Thu Jan 22 09:09:36 UTC 2026","passed","Thu Jan 22 09:09:36 UTC 2026","TestUsers","test_users","",""
"","7","test_delete_user","tests.users","Thu Jan 22 09:09:36 UTC 2026","passed","Thu Jan 22 09:09:36 UTC 2026","TestUsers","test_users","",""
"","532","test_get_user_for_id","tests.users","Thu Jan 22 09:09:35 UTC 2026","passed","Thu Jan 22 09:09:36 UTC 2026","TestUsers","test_users","",""
"","797","test_create_user[gmail.com]","tests.users","Thu Jan 22 09:09:33 UTC 2026","passed","Thu Jan 22 09:09:34 UTC 2026","TestUsers","test_users","",""
"","526","test_get_file_with_incorrect_file_id","tests.files","Thu Jan 22 09:09:33 UTC 2026","passed","Thu Jan 22 09:09:34 UTC 2026","TestFiles","test_files","",""
"","316","test_get_courses","tests.courses","Thu Jan 22 09:09:28 UTC 2026","passed","Thu Jan 22 09:09:28 UTC 2026","TestCourses","test_courses","",""
"","315","test_create_exercises","tests.exercises","Thu Jan 22 09:09:31 UTC 2026","passed","Thu Jan 22 09:09:31 UTC 2026","TestExercises","test_exercises","",""
"","253","test_get_user_me","tests.users","Thu Jan 22 09:09:35 UTC 2026","passed","Thu Jan 22 09:09:36 UTC 2026","TestUsers","test_users","",""
"","818","test_login","tests.authentication","Thu Jan 22 09:09:26 UTC 2026","passed","Thu Jan 22 09:09:27 UTC 2026","TestAuthentication","test_authentication","",""
"","23","test_update_token","tests.authentication","Thu Jan 22 09:09:28 UTC 2026","passed","Thu Jan 22 09:09:28 UTC 2026","TestAuthentication","test_authentication","",""
